source,target,weight
111,629,0.067806
111,1069,0.050593
112,348,0.046454
112,322,0.037511
112,1348,0.105043
112,238,0.037549
112,1785,0.051484
113,1288,0.081726
113,1089,0.041904
113,1927,0.053362
113,2628,0.052488
114,2188,0.044914
114,1012,0.045693
114,2422,0.069906
114,1726,0.056403
114,1078,0.046974
115,207,0.127415
115,435,0.041707
115,1031,0.042698
115,1019,0.074701
115,1486,0.041532
115,785,0.042356
116,839,0.177084
116,118,0.087338
116,522,0.089657
116,122,0.169046
116,435,0.105698
116,382,0.036557
116,1370,0.135967
116,854,0.052076
116,942,0.081115
117,1286,0.071246
117,751,0.069518
117,885,0.092751
117,2016,0.046996
117,2018,0.108014
117,839,0.052053
117,301,0.104516
117,1368,0.036922
117,855,0.045972
117,1239,0.154757
117,1980,0.036886
118,522,0.045819
118,839,0.04098
118,855,0.09354
119,435,0.044896
119,1075,0.040974
119,373,0.04755
120,1170,0.043906
120,454,0.065736
120,735,0.037097
121,840,0.040315
121,2375,0.043371
121,303,0.093507
121,1195,0.06066
121,2866,0.1574
121,823,0.036435
122,1322,0.113509
122,467,0.149386
122,942,0.04718
122,1143,0.047707
123,769,0.076566
123,2038,0.039198
124,156,0.066957
124,2621,0.038286
125,2378,0.042711
125,2537,0.040901
126,804,0.105906
126,2139,0.048539
126,2681,0.036331
127,428,0.050641
127,1699,0.234386
127,2227,0.063209
128,138,0.136083
128,140,0.037743
128,142,0.038398
128,2069,0.047691
128,456,0.039223
128,177,0.067152
129,1291,0.069121
129,1184,0.038918
129,2013,0.039948
129,2044,0.035723
130,426,0.121976
130,135,0.067849
130,1617,0.057964
130,1738,0.108143
131,273,0.071746
131,2237,0.096985
131,2868,0.060792
131,1582,0.055281
131,1260,0.036097
132,1912,0.286238
132,687,0.14637
132,1860,0.050829
133,2224,0.079341
133,1284,0.044789
134,617,0.068057
134,323,0.092971
134,1436,0.055443
134,1851,0.064033
134,622,0.124614
134,614,0.035556
134,424,0.03534
134,1932,0.087854
134,181,0.038523
134,566,0.050847
134,1294,0.056359
135,1951,0.046564
135,2170,0.046977
135,2683,0.048309
136,165,0.083454
136,2282,0.119499
136,786,0.036121
136,1960,0.077672
136,2015,0.10583
136,1472,0.045177
137,141,0.272216
137,2447,0.139721
137,2219,0.161058
137,208,0.03718
137,209,0.071166
137,301,0.041798
137,2103,0.170335
137,664,0.042289
137,2547,0.102281
137,2165,0.152511
137,1956,0.04461
137,2598,0.054143
138,298,0.041883
138,2071,0.057369
138,2473,0.11543
138,2039,0.036084
139,977,0.039894
139,2304,0.136139
139,1426,0.046251
139,747,0.208698
139,999,0.065887
139,2680,0.054431
140,188,0.096093
140,191,0.042734
141,142,0.0751
141,967,0.050721
141,161,0.11637
141,955,0.039252
141,2447,0.052345
142,143,0.066554
143,1210,0.052071
143,718,0.065814
143,2852,0.042236
143,343,0.042444
144,869,0.04606
144,2340,0.050682
145,202,0.040009
145,1971,0.036158
145,2605,0.061539
146,2600,0.050068
146,1425,0.069769
146,228,0.081498
146,212,0.043533
147,645,0.056163
147,1639,0.060108
148,1876,0.056385
148,1544,0.043369
148,2371,0.114359
148,2348,0.045455
148,2094,0.150037
148,153,0.052621
149,783,0.038491
150,1208,0.054884
150,174,0.041957
150,1731,0.040153
150,1459,0.049356
150,1249,0.075288
